MSA,demoname,reclat,reclong,Population,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>",name
"Dubuque, IA","Dubuque, IA",42.50056,-90.6646,96571,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Dubuque, IA<br><a href=""http://45.35.64.128:8000/details.html?city=Dubuque, IA"">Link to Page...</a>"
"Duluth, MN WI","Duluth, MN WI",46.78667,-92.1005,279205,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Duluth, MN WI<br><a href=""http://45.35.64.128:8000/details.html?city=Duluth, MN WI"">Link to Page...</a>"
"Durham Chapel Hill, NC","Durham Chapel Hill, NC",35.99403,-78.8986,550281,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Durham Chapel Hill, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Durham Chapel Hill, NC"">Link to Page...</a>"
"Eau Claire, WI","Eau Claire, WI",44.81135,-91.4985,165833,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Eau Claire, WI<br><a href=""http://45.35.64.128:8000/details.html?city=Eau Claire, WI"">Link to Page...</a>"
"El Centro, CA","El Centro, CA",32.792,-115.563,179957,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","El Centro, CA<br><a href=""http://45.35.64.128:8000/details.html?city=El Centro, CA"">Link to Page...</a>"
"Elizabethtown Fort Knox, KY","Elizabethtown Fort Knox, KY",37.70306,-85.8649,150253,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Elizabethtown Fort Knox, KY<br><a href=""http://45.35.64.128:8000/details.html?city=Elizabethtown Fort Knox, KY"">Link to Page...</a>"
"Elkhart Goshen, IN","Elkhart Goshen, IN",41.68199,-85.9767,202924,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Elkhart Goshen, IN<br><a href=""http://45.35.64.128:8000/details.html?city=Elkhart Goshen, IN"">Link to Page...</a>"
"Elmira, NY","Elmira, NY",42.0898,-76.8077,86883,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Elmira, NY<br><a href=""http://45.35.64.128:8000/details.html?city=Elmira, NY"">Link to Page...</a>"
"El Paso, TX","El Paso, TX",31.77758,-106.442,838527,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","El Paso, TX<br><a href=""http://45.35.64.128:8000/details.html?city=El Paso, TX"">Link to Page...</a>"
"Erie, PA","Erie, PA",42.12922,-80.0851,277794,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Erie, PA<br><a href=""http://45.35.64.128:8000/details.html?city=Erie, PA"">Link to Page...</a>"
"Eugene, OR","Eugene, OR",44.05207,-123.087,363471,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Eugene, OR<br><a href=""http://45.35.64.128:8000/details.html?city=Eugene, OR"">Link to Page...</a>"
"Evansville, IN KY","Evansville, IN KY",37.97156,-87.5711,315263,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Evansville, IN KY<br><a href=""http://45.35.64.128:8000/details.html?city=Evansville, IN KY"">Link to Page...</a>"
"Fairbanks, AK","Fairbanks, AK",64.83778,-147.716,100031,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Fairbanks, AK<br><a href=""http://45.35.64.128:8000/details.html?city=Fairbanks, AK"">Link to Page...</a>"
"Fargo, ND MN","Fargo, ND MN",46.87719,-96.7898,232660,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Fargo, ND MN<br><a href=""http://45.35.64.128:8000/details.html?city=Fargo, ND MN"">Link to Page...</a>"
"Farmington, NM","Farmington, NM",36.72806,-108.219,128221,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Farmington, NM<br><a href=""http://45.35.64.128:8000/details.html?city=Farmington, NM"">Link to Page...</a>"
"Fayetteville, NC","Fayetteville, NC",35.05266,-78.8784,385337,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Fayetteville, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Fayetteville, NC"">Link to Page...</a>"
"Fayetteville Springdale Rogers, AR MO","Fayetteville Springdale Rogers, AR MO",36.06258,-94.1574,514166,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Fayetteville Springdale Rogers, AR MO<br><a href=""http://45.35.64.128:8000/details.html?city=Fayetteville Springdale Rogers, AR MO"">Link to Page...</a>"
"Flagstaff, AZ","Flagstaff, AZ",35.19828,-111.651,138639,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Flagstaff, AZ<br><a href=""http://45.35.64.128:8000/details.html?city=Flagstaff, AZ"">Link to Page...</a>"
"Flint, MI","Flint, MI",43.01253,-83.6875,410881,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Flint, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Flint, MI"">Link to Page...</a>"
"Florence, SC","Florence, SC",34.19543,-79.7626,206109,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Florence, SC<br><a href=""http://45.35.64.128:8000/details.html?city=Florence, SC"">Link to Page...</a>"
"Florence Muscle Shoals, AL","Florence Muscle Shoals, AL",34.79981,-87.6773,147025,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Florence Muscle Shoals, AL<br><a href=""http://45.35.64.128:8000/details.html?city=Florence Muscle Shoals, AL"">Link to Page...</a>"
"Fond du Lac, WI","Fond du Lac, WI",43.77304,-88.4471,102082,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Fond du Lac, WI<br><a href=""http://45.35.64.128:8000/details.html?city=Fond du Lac, WI"">Link to Page...</a>"
"Fort Collins, CO","Fort Collins, CO",40.58526,-105.084,330976,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Fort Collins, CO<br><a href=""http://45.35.64.128:8000/details.html?city=Fort Collins, CO"">Link to Page...</a>"
"Fort Smith, AR OK","Fort Smith, AR OK",35.38592,-94.3985,280705,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Fort Smith, AR OK<br><a href=""http://45.35.64.128:8000/details.html?city=Fort Smith, AR OK"">Link to Page...</a>"
"Fort Wayne, IN","Fort Wayne, IN",41.07927,-85.1394,429060,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Fort Wayne, IN<br><a href=""http://45.35.64.128:8000/details.html?city=Fort Wayne, IN"">Link to Page...</a>"
"Fresno, CA","Fresno, CA",36.74684,-119.773,971616,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Fresno, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Fresno, CA"">Link to Page...</a>"
"Gadsden, AL","Gadsden, AL",34.01426,-86.0066,103132,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Gadsden, AL<br><a href=""http://45.35.64.128:8000/details.html?city=Gadsden, AL"">Link to Page...</a>"
"Gainesville, FL","Gainesville, FL",29.65163,-82.3248,277056,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Gainesville, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Gainesville, FL"">Link to Page...</a>"
"Gainesville, GA","Gainesville, GA",34.29788,-83.8241,192865,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Gainesville, GA<br><a href=""http://45.35.64.128:8000/details.html?city=Gainesville, GA"">Link to Page...</a>"
"Glens Falls, NY","Glens Falls, NY",42.25481,-74.0271,126884,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Glens Falls, NY<br><a href=""http://45.35.64.128:8000/details.html?city=Glens Falls, NY"">Link to Page...</a>"
"Goldsboro, NC","Goldsboro, NC",35.38488,-77.9928,124496,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Goldsboro, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Goldsboro, NC"">Link to Page...</a>"
"Grand Forks, ND MN","Grand Forks, ND MN",47.92526,-97.0329,101694,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Grand Forks, ND MN<br><a href=""http://45.35.64.128:8000/details.html?city=Grand Forks, ND MN"">Link to Page...</a>"
"Grand Junction, CO","Grand Junction, CO",39.06387,-108.551,148798,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Grand Junction, CO<br><a href=""http://45.35.64.128:8000/details.html?city=Grand Junction, CO"">Link to Page...</a>"
"Grand Rapids Wyoming, MI","Grand Rapids Wyoming, MI",42.96336,-85.6681,1039182,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Grand Rapids Wyoming, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Grand Rapids Wyoming, MI"">Link to Page...</a>"
"Great Falls, MT","Great Falls, MT",47.49418,-111.283,81816,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Great Falls, MT<br><a href=""http://45.35.64.128:8000/details.html?city=Great Falls, MT"">Link to Page...</a>"
"Greeley, CO","Greeley, CO",40.42331,-104.709,285729,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Greeley, CO<br><a href=""http://45.35.64.128:8000/details.html?city=Greeley, CO"">Link to Page...</a>"
"Green Bay, WI","Green Bay, WI",44.51916,-88.0198,315847,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Green Bay, WI<br><a href=""http://45.35.64.128:8000/details.html?city=Green Bay, WI"">Link to Page...</a>"
"Greensboro High Point, NC","Greensboro High Point, NC",36.07264,-79.792,751590,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Greensboro High Point, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Greensboro High Point, NC"">Link to Page...</a>"
"Greenville, NC","Greenville, NC",35.61266,-77.3664,176484,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Greenville, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Greenville, NC"">Link to Page...</a>"
"Greenville Anderson Mauldin, SC","Greenville Anderson Mauldin, SC",34.85262,-82.394,872463,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Greenville Anderson Mauldin, SC<br><a href=""http://45.35.64.128:8000/details.html?city=Greenville Anderson Mauldin, SC"">Link to Page...</a>"
"Gulfport Biloxi Pascagoula, MS","Gulfport Biloxi Pascagoula, MS",30.36742,-89.0928,388082,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Gulfport Biloxi Pascagoula, MS<br><a href=""http://45.35.64.128:8000/details.html?city=Gulfport Biloxi Pascagoula, MS"">Link to Page...</a>"
"Hagerstown Martinsburg, MD WV","Hagerstown Martinsburg, MD WV",39.64176,-77.72,261156,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Hagerstown Martinsburg, MD WV<br><a href=""http://45.35.64.128:8000/details.html?city=Hagerstown Martinsburg, MD WV"">Link to Page...</a>"
"Hanford Corcoran, CA","Hanford Corcoran, CA",36.32745,-119.646,150183,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Hanford Corcoran, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Hanford Corcoran, CA"">Link to Page...</a>"
"Harrisburg Carlisle, PA","Harrisburg Carlisle, PA",40.27319,-76.8867,565008,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Harrisburg Carlisle, PA<br><a href=""http://45.35.64.128:8000/details.html?city=Harrisburg Carlisle, PA"">Link to Page...</a>"
"Harrisonburg, VA","Harrisonburg, VA",38.44957,-78.8689,131717,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Harrisonburg, VA<br><a href=""http://45.35.64.128:8000/details.html?city=Harrisonburg, VA"">Link to Page...</a>"
"Hartford West Hartford East Hartford, CT","Hartford West Hartford East Hartford, CT",41.76371,-72.6851,1213123,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Hartford West Hartford East Hartford, CT<br><a href=""http://45.35.64.128:8000/details.html?city=Hartford West Hartford East Hartford, CT"">Link to Page...</a>"
"Hattiesburg, MS","Hattiesburg, MS",31.32712,-89.2903,148399,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Hattiesburg, MS<br><a href=""http://45.35.64.128:8000/details.html?city=Hattiesburg, MS"">Link to Page...</a>"
"Hickory Lenoir Morganton, NC","Hickory Lenoir Morganton, NC",35.73445,-81.3445,364044,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Hickory Lenoir Morganton, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Hickory Lenoir Morganton, NC"">Link to Page...</a>"
"Hinesville, GA","Hinesville, GA",31.84688,-81.5959,79977,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Hinesville, GA<br><a href=""http://45.35.64.128:8000/details.html?city=Hinesville, GA"">Link to Page...</a>"
"Hot Springs, AR","Hot Springs, AR",34.5037,-93.0552,97994,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Hot Springs, AR<br><a href=""http://45.35.64.128:8000/details.html?city=Hot Springs, AR"">Link to Page...</a>"
"Houma Thibodaux, LA","Houma Thibodaux, LA",29.59577,-90.7195,211179,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Houma Thibodaux, LA<br><a href=""http://45.35.64.128:8000/details.html?city=Houma Thibodaux, LA"">Link to Page...</a>"
"Houston The Woodlands Sugar Land, TX","Houston The Woodlands Sugar Land, TX",29.76019,-95.3694,6636208,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Houston The Woodlands Sugar Land, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Houston The Woodlands Sugar Land, TX"">Link to Page...</a>"
"Huntington Ashland, WV KY OH","Huntington Ashland, WV KY OH",38.41925,-82.4452,360603,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Huntington Ashland, WV KY OH<br><a href=""http://45.35.64.128:8000/details.html?city=Huntington Ashland, WV KY OH"">Link to Page...</a>"
"Huntsville, AL","Huntsville, AL",34.73037,-86.5861,444908,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Huntsville, AL<br><a href=""http://45.35.64.128:8000/details.html?city=Huntsville, AL"">Link to Page...</a>"
"Idaho Falls, ID","Idaho Falls, ID",43.49165,-112.034,140427,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Idaho Falls, ID<br><a href=""http://45.35.64.128:8000/details.html?city=Idaho Falls, ID"">Link to Page...</a>"
"Indianapolis Carmel Anderson, IN","Indianapolis Carmel Anderson, IN",39.7684,-86.1581,1989032,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Indianapolis Carmel Anderson, IN<br><a href=""http://45.35.64.128:8000/details.html?city=Indianapolis Carmel Anderson, IN"">Link to Page...</a>"
"Iowa City, IA","Iowa City, IA",41.66113,-91.5302,166520,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Iowa City, IA<br><a href=""http://45.35.64.128:8000/details.html?city=Iowa City, IA"">Link to Page...</a>"
"Ithaca, NY","Ithaca, NY",42.44396,-76.5019,104415,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Ithaca, NY<br><a href=""http://45.35.64.128:8000/details.html?city=Ithaca, NY"">Link to Page...</a>"
"Jackson, MI","Jackson, MI",42.24587,-84.4013,158989,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Jackson, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Jackson, MI"">Link to Page...</a>"
"Jackson, MS","Jackson, MS",32.29876,-90.1848,578565,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Jackson, MS<br><a href=""http://45.35.64.128:8000/details.html?city=Jackson, MS"">Link to Page...</a>"
"Jackson, TN","Jackson, TN",35.61452,-88.8139,129538,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Jackson, TN<br><a href=""http://45.35.64.128:8000/details.html?city=Jackson, TN"">Link to Page...</a>"
"Jacksonville, FL","Jacksonville, FL",30.33218,-81.6557,1447884,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Jacksonville, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Jacksonville, FL"">Link to Page...</a>"
"Jacksonville, NC","Jacksonville, NC",34.75405,-77.4302,192685,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Jacksonville, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Jacksonville, NC"">Link to Page...</a>"
"Jefferson City, MO","Jefferson City, MO",38.5767,-92.1735,151056,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Jefferson City, MO<br><a href=""http://45.35.64.128:8000/details.html?city=Jefferson City, MO"">Link to Page...</a>"
"Johnson City, TN","Johnson City, TN",36.31344,-82.3535,200767,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Johnson City, TN<br><a href=""http://45.35.64.128:8000/details.html?city=Johnson City, TN"">Link to Page...</a>"
"Johnstown, PA","Johnstown, PA",40.32674,-78.922,135871,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Johnstown, PA<br><a href=""http://45.35.64.128:8000/details.html?city=Johnstown, PA"">Link to Page...</a>"
"Jonesboro, AR","Jonesboro, AR",35.8423,-90.7043,128344,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Jonesboro, AR<br><a href=""http://45.35.64.128:8000/details.html?city=Jonesboro, AR"">Link to Page...</a>"
"Joplin, MO","Joplin, MO",37.08423,-94.5133,176759,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Joplin, MO<br><a href=""http://45.35.64.128:8000/details.html?city=Joplin, MO"">Link to Page...</a>"
"Kalamazoo Portage, MI","Kalamazoo Portage, MI",42.29171,-85.5872,335020,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Kalamazoo Portage, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Kalamazoo Portage, MI"">Link to Page...</a>"
"Kankakee, IL","Kankakee, IL",41.12003,-87.8612,110801,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Kankakee, IL<br><a href=""http://45.35.64.128:8000/details.html?city=Kankakee, IL"">Link to Page...</a>"
"Kansas City, MO KS","Kansas City, MO KS",39.09973,-94.5786,2088830,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Kansas City, MO KS<br><a href=""http://45.35.64.128:8000/details.html?city=Kansas City, MO KS"">Link to Page...</a>"
"Kennewick Richland, WA","Kennewick Richland, WA",46.21125,-119.137,279653,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Kennewick Richland, WA<br><a href=""http://45.35.64.128:8000/details.html?city=Kennewick Richland, WA"">Link to Page...</a>"
"Killeen Temple, TX","Killeen Temple, TX",31.11712,-97.7278,432797,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Killeen Temple, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Killeen Temple, TX"">Link to Page...</a>"
"Kingsport Bristol Bristol, TN VA","Kingsport Bristol Bristol, TN VA",36.54843,-82.5618,306745,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Kingsport Bristol Bristol, TN VA<br><a href=""http://45.35.64.128:8000/details.html?city=Kingsport Bristol Bristol, TN VA"">Link to Page...</a>"
"Kingston, NY","Kingston, NY",41.92704,-73.9974,180129,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Kingston, NY<br><a href=""http://45.35.64.128:8000/details.html?city=Kingston, NY"">Link to Page...</a>"
"Knoxville, TN","Knoxville, TN",35.96064,-83.9207,862490,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Knoxville, TN<br><a href=""http://45.35.64.128:8000/details.html?city=Knoxville, TN"">Link to Page...</a>"
"Kokomo, IN","Kokomo, IN",40.48643,-86.1336,82457,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Kokomo, IN<br><a href=""http://45.35.64.128:8000/details.html?city=Kokomo, IN"">Link to Page...</a>"
"La Crosse Onalaska, WI MN","La Crosse Onalaska, WI MN",43.80136,-91.2396,136291,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","La Crosse Onalaska, WI MN<br><a href=""http://45.35.64.128:8000/details.html?city=La Crosse Onalaska, WI MN"">Link to Page...</a>"
"Lafayette, LA","Lafayette, LA",30.22409,-92.0198,487633,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lafayette, LA<br><a href=""http://45.35.64.128:8000/details.html?city=Lafayette, LA"">Link to Page...</a>"
"Lafayette West Lafayette, IN","Lafayette West Lafayette, IN",40.4167,-86.8753,214760,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lafayette West Lafayette, IN<br><a href=""http://45.35.64.128:8000/details.html?city=Lafayette West Lafayette, IN"">Link to Page...</a>"
"Lake Charles, LA","Lake Charles, LA",30.22659,-93.2174,205559,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lake Charles, LA<br><a href=""http://45.35.64.128:8000/details.html?city=Lake Charles, LA"">Link to Page...</a>"
"Lake Havasu City Kingman, AZ","Lake Havasu City Kingman, AZ",34.4839,-114.322,204691,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lake Havasu City Kingman, AZ<br><a href=""http://45.35.64.128:8000/details.html?city=Lake Havasu City Kingman, AZ"">Link to Page...</a>"
"Lakeland Winter Haven, FL","Lakeland Winter Haven, FL",28.03947,-81.9498,652256,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lakeland Winter Haven, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Lakeland Winter Haven, FL"">Link to Page...</a>"
"Lancaster, PA","Lancaster, PA",40.03788,-76.3055,536494,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lancaster, PA<br><a href=""http://45.35.64.128:8000/details.html?city=Lancaster, PA"">Link to Page...</a>"
"Lansing East Lansing, MI","Lansing East Lansing, MI",42.73254,-84.5555,472092,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lansing East Lansing, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Lansing East Lansing, MI"">Link to Page...</a>"
"Laredo, TX","Laredo, TX",27.53057,-99.4803,269624,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Laredo, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Laredo, TX"">Link to Page...</a>"
"Las Cruces, NM","Las Cruces, NM",32.31994,-106.764,213849,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Las Cruces, NM<br><a href=""http://45.35.64.128:8000/details.html?city=Las Cruces, NM"">Link to Page...</a>"
"Las Vegas Henderson Paradise, NV","Las Vegas Henderson Paradise, NV",36.16994,-115.14,2112436,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Las Vegas Henderson Paradise, NV<br><a href=""http://45.35.64.128:8000/details.html?city=Las Vegas Henderson Paradise, NV"">Link to Page...</a>"
"Lawrence, KS","Lawrence, KS",38.97167,-95.2353,117806,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lawrence, KS<br><a href=""http://45.35.64.128:8000/details.html?city=Lawrence, KS"">Link to Page...</a>"
"Lawton, OK","Lawton, OK",34.60357,-98.3959,129066,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lawton, OK<br><a href=""http://45.35.64.128:8000/details.html?city=Lawton, OK"">Link to Page...</a>"
"Lebanon, PA","Lebanon, PA",40.34093,-76.4113,137616,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lebanon, PA<br><a href=""http://45.35.64.128:8000/details.html?city=Lebanon, PA"">Link to Page...</a>"
"Lewiston, ID WA","Lewiston, ID WA",46.40041,-117.001,62273,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lewiston, ID WA<br><a href=""http://45.35.64.128:8000/details.html?city=Lewiston, ID WA"">Link to Page...</a>"
"Lewiston Auburn, ME","Lewiston Auburn, ME",44.10035,-70.2148,107317,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lewiston Auburn, ME<br><a href=""http://45.35.64.128:8000/details.html?city=Lewiston Auburn, ME"">Link to Page...</a>"
"Lexington Fayette, KY","Lexington Fayette, KY",38.04058,-84.5037,500689,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lexington Fayette, KY<br><a href=""http://45.35.64.128:8000/details.html?city=Lexington Fayette, KY"">Link to Page...</a>"
"Lima, OH","Lima, OH",40.74255,-84.1052,104157,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lima, OH<br><a href=""http://45.35.64.128:8000/details.html?city=Lima, OH"">Link to Page...</a>"
"Lincoln, NE","Lincoln, NE",40.80972,-96.6753,323402,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lincoln, NE<br><a href=""http://45.35.64.128:8000/details.html?city=Lincoln, NE"">Link to Page...</a>"
"Little Rock North Little Rock Conway, AR","Little Rock North Little Rock Conway, AR",34.74648,-92.2896,730346,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Little Rock North Little Rock Conway, AR<br><a href=""http://45.35.64.128:8000/details.html?city=Little Rock North Little Rock Conway, AR"">Link to Page...</a>"
"Logan, UT ID","Logan, UT ID",41.73698,-111.834,133408,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Logan, UT ID<br><a href=""http://45.35.64.128:8000/details.html?city=Logan, UT ID"">Link to Page...</a>"
"Longview, TX","Longview, TX",32.5007,-94.7405,216934,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Longview, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Longview, TX"">Link to Page...</a>"
"Longview, WA","Longview, WA",46.13817,-122.938,103590,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Longview, WA<br><a href=""http://45.35.64.128:8000/details.html?city=Longview, WA"">Link to Page...</a>"
